,JUZGADO CORRECCIONAL - JJ CASTELLI,1,JCOR1JJC,penal,SIGI,JCOR1JJC
,JUZGADO CORRECCIONAL Nº 2,1,JCOR2,penal,SIGI,JCOR2
,JUZGADO CORRECCIONAL Nº 3,1,JCOR3,penal,SIGI,JCOR3
,JUZGADO CORRECCIONAL - CHARATA,1,JCORCH,penal,SIGI,JCORCH
,JUZGADO CORRECCIONAL - GENERAL SAN MARTIN,1,JCORGSM,penal,SIGI,JCORGSM
,JUZGADO CORRECCIONAL - VILLA ANGELA,1,JCORVA,penal,SIGI,JCORVA
,JUZGADO DE CONTROL Y FALTAS Nº 3 - CORDOBA -,1,JCYF03CORD,penal,SIGI,JCYF03CORD
,JUZGADO DE EJECUCION PENAL Nº 1 DE RESISTENCIA,1,JEP1RCIA,penal,SIGI,JEP1RCIA
,JUZGADO DE EJECUCION PENAL Nº 2 DE RESISTENCIA,1,JEP2RCIA,penal,SIGI,JEP2RCIA
,JUZGADO DE EJECUCION PENAL - CHARATA,1,JEPCHA,penal,SIGI,JEPCHA
,JUZGADO DE EJECUCION PENAL - GENERAL SAN MARTIN,1,JEPGSM,penal,SIGI,JEPGSM
,JUZGADO DE EJECUCION PENAL - JJ CASTELLI,1,JEPJJC,penal,SIGI,JEPJJC
,JUZGADO DE EJECUCION PENAL -SAENZ PEÑA-,1,JEPSP,penal,SIGI,JEPSP
,JUZGADO DE EJECUCION PENAL - VILLA ANGELA,1,JEPVA,penal,SIGI,JEPVA
,JUZGADO DE FALTAS DE RESISTENCIA,1,JFALTAS,penal,SIGI,JFALTAS
,JUZGADO DE FALTAS DE BARRANQUERAS,1,JFB,penal,SIGI,JFB
,JUZGADO DE FALTAS MUNICIPAL DE BARRANQUERAS,1,JFBMUNIC,penal,SIGI,JFBMUNIC
,JUZGADO DE FALTAS - CHARATA,1,JFCH,penal,SIGI,JFCH
,JUZGADO DE FALTAS MUNICIPAL DE CHARATA,1,JFCHMUNIC,penal,SIGI,JFCHMUNIC
,JUZGADO DE PAZ Y FALTAS DE FONTANA,1,JFF,penal,SIGI,JFF
,JUZGADO DE FALTAS MUNICIPAL DE FONTANA,1,JFFMUNIC,penal,SIGI,JFFMUNIC
,JUZGADO DE FALTAS - GENERAL SAN MARTIN,1,JFGSM,penal,SIGI,JFGSM
,JUZGADO DE FALTAS MUNICIPAL DE GENERAL SAN MARTIN,1,JFGSMMUNIC,penal,SIGI,JFGSMMUNIC
,JUZGADO DE FALTAS - JUAN JOSE CASTELLI,1,JFJJC,penal,SIGI,JFJJC
,JUZGADO DE FALTAS MUNICIPAL DE JUAN JOSE CASTELLI,1,JFJJCMUNIC,penal,SIGI,JFJJCMUNIC
,JUZGADO DE FALTAS MUNICIPAL DE LAS BREÑAS,1,JFLBREMUNIC,penal,SIGI,JFLBREMUNIC
,JUZGADO DE FALTAS MUNICIPAL N° 1 - RESISTENCIA,1,JFRCIAMUNIC1,penal,SIGI,JFRCIAMUNIC1
,JUZGADO DE FALTAS MUNICIPAL N° 2 - RESISTENCIA,1,JFRCIAMUNIC2,penal,SIGI,JFRCIAMUNIC2
,JUZGADO DE FALTAS MUNICIPAL AMBIENTAL - RESISTENCIA,1,JFRCIAMUNICAMB,penal,SIGI,JFRCIAMUNICAMB
,JUZGADO DE FALTAS BARRIO RICARDO GUIRALDES,1,JFRG,penal,SIGI,JFRG
,JUZGADO DE FALTAS - SAENZ PEÑA,1,JFSP,penal,SIGI,JFSP
,JUZGADO DE FALTAS PUERTO VILELAS,1,JFV,penal,SIGI,JFV
,JUZGADO DE FALTAS - VILLA ANGELA,1,JFVA,penal,SIGI,JFVA
,JUZGADO DE GARANTIAS - SAENZ PEÑA,1,JG01SP,penal,SIGI,JG01SP
,JUZGADO DE GARANTIA N° 1,1,JG1,penal,SIGI,JG1
,JUZGADO DE GARANTIA Y TRANSICION - JJ CASTELLI,1,JG1JJC,penal,SIGI,JG1JJC
,JUZGADO DE GARANTIA N° 2,1,JG2,penal,SIGI,JG2
,JUZGADO DE GARANTIA N° 3,1,JG3,penal,SIGI,JG3
,JUZGADO DE GARANTIA N° 4,1,JG4,penal,SIGI,JG4
,JUZGADO DE GARANTIA N° 5,1,JG5,penal,SIGI,JG5
,JUZGADO DE GARANTIAS,1,JGAR,penal,SIGI,JGAR
,JUZGADO DE GARANTIAS - CHARATA,1,JGCHA,penal,SIGI,JGCHA
,JUZGADO DE GARANTIAS Y ANTIDROGAS - GENERAL SAN MARTIN,1,JGGSM,penal,SIGI,JGGSM
,JUZGADO DE GARANTIAS - VILLA ANGELA,1,JGVA,penal,SIGI,JGVA
,JUZGADO DE INSTRUCCION Nº 2 - CORRIENTES,1,JI02COR,penal,SIGI,JI02COR
,JUZGADO DE INSTRUCCION Nº 3 - CORRIENTES,1,JI03COR,penal,SIGI,JI03COR
,JUZGADO DE INSTRUCCION Nº 4 - CORRIENTES,1,JI04COR,penal,SIGI,JI04COR
,JUZGADO DE INSTRUCCION Nº 5 - CORRIENTES,1,JI05COR,penal,SIGI,JI05COR
,JUZGADO DE INSTRUCCION Nº 6 - CORRIENTES,1,JI06COR,penal,SIGI,JI06COR
,"JUZGADO DE NIÑEZ, ADOLESCENCIA Y FAMILIA Nº 1 - SAENZ PEÑA",1,JMF01SP,penal,SIGI,JMF01SP
,"JUZGADO DE NIÑEZ, ADOLESCENCIA Y FAMILIA - VILLA ANGELA",1,JMF01VA,penal,SIGI,JMF01VA
,"JUZGADO DE NIÑEZ, ADOLESCENCIA Y FAMILIA Nº 2 - CHARATA",1,JMF02CHA,penal,SIGI,JMF02CHA
,"JUZGADO DE NIÑEZ, ADOLESCENCIA Y FAMILIA Nº 2 - SAENZ PEÑA",1,JMF02SP,penal,SIGI,JMF02SP
,"JUZGADO DE NIÑEZ, ADOLESCENCIA Y FAMILIA Nº 2 - VILLA ANGELA",1,JMF02VA,penal,SIGI,JMF02VA
,"JUZGADO DE NIÑEZ, ADOLESCENCIA Y FAMILIA Nº 3 - SAENZ PEÑA",1,JMF03SP,penal,SIGI,JMF03SP
,"JUZGADO DE NIÑEZ, ADOLESCENCIA Y FAMILIA Nº 1",1,JMF1,penal,SIGI,JMF1
,JUZGADO DEL MENOR Y FAMILIA - JJ CASTELLI,1,JMF1JJC,penal,SIGI,JMF1JJC
,"JUZGADO DE NIÑEZ, ADOLESCENCIA Y FAMILIA Nº 2",1,JMF2,penal,SIGI,JMF2
,JUZGADO DEL MENOR Y FAMILIA Nº 2 - JJ CASTELLI,1,JMF2JJC,penal,SIGI,JMF2JJC
,"JUZGADO DE NIÑEZ, ADOLESCENCIA Y FAMILIA Nº 3",1,JMF3,civil,IURE,JMF3
,"JUZGADO DE NIÑEZ, ADOLESCENCIA Y FAMILIA Nº 4",1,JMF4,civil,IURE,JMF4
,"JUZGADO DE NIÑEZ, ADOLESCENCIA Y FAMILIA Nº 5",1,JMF5,civil,IURE,JMF5
,"JUZGADO DE NIÑEZ, ADOLESCENCIA Y FAMILIA Nº 6",1,JMF6,civil,IURE,JMF6
,"JUZGADO DE NIÑEZ, ADOLESCENCIA Y FAMILIA Nº 7",1,JMF7,civil,IURE,JMF7
,"JUZGADO DE NIÑEZ, ADOLESCENCIA Y FAMILIA - CHARATA",1,JMFCHA,penal,SIGI,JMFCHA
,JUZGADO DEL MENOR Y FAMILIA - GENERAL SAN MARTIN,1,JMFGSM,penal,SIGI,JMFGSM
,JUZGADO NOTARIAL,1,JN,penal,SIGI,JN
,JUZGADO DE PAZ AVIA TERAI,1,JPATERAI,penal,SIGI,JPATERAI
,JUZGADO Nº 1 DE RESISTENCIA,1,JPAZ1RCIA,penal,SIGI,JPAZ1RCIA
,JUZGADO Nº 2 DE RESISTENCIA,1,JPAZ2RCIA,penal,SIGI,JPAZ2RCIA
